id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4620832019843974,K8JW1FiRM,2122147865,我是沈阳宽宽,宽宽：只差一步，A股的明天一定要这样走！#2021有点东西##知识分享大会##股市分析#L我是沈阳宽宽的微博视频,,,,"2021有点东西,知识分享大会,股市分析",33,19,213,2021-03-31 15:27,微博视频号,,"http://f.video.weibocdn.com/iOJxwT4Ilx07LwiXe1aU01041201qmVE0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1711527797&ssig=YoKjzKaKpN&KID=unistore,video",,
4620913528541144,K8M3uzPWo,5244183267,麒麟神侯,A股三月收官，继续轻指数重个股，更多详情戳视频[牛年大吉][牛年大吉][牛年大吉]#股破苍穹##股票##基金#L麒麟神侯的微博视频,,,,"股破苍穹,股票,基金",21,67,342,2021-03-31 20:51,奉旨招财Android,,"http://f.video.weibocdn.com/002mXiMWgx07LwFdcMec01041201XmLh0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1711527797&ssig=vNcWEm3mZw&KID=unistore,video",,
4620865097173949,K8KNnu6gR,2125494943,天狼50官方,【#收盘论道#20210331A股又见回撤怎么办？先看懂这四大信号！@天狼若超】周三上证指数小幅下探回升，最终小幅下跌收盘。刚刚反弹两天的抱团股早盘又开始杀跌，但后来逐渐销声匿迹。盘面上有什么值得我们注意的地方？短线市场有可能怎么走？L天狼50官方的微博视频,,,天狼若超,收盘论道,8,9,79,2021-03-31 17:39,微博视频号,,"http://f.video.weibocdn.com/u6MR9Qgllx07LwrZ9xZ601041201ZRTR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1711527797&ssig=I1h8Fd2WJW&KID=unistore,video",,
4620900782048786,K8LIW8AYW,7515603927,成林说,如期回调，但强势#股票##A股#L百盛说四季红的微博视频,,,,"股票,A股",9,13,60,2021-03-31 20:01,微博视频号,,"http://f.video.weibocdn.com/002yTR2Hgx07Lwy00aOr01041205bap40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1711527823&ssig=3xWLizKmvW&KID=unistore,video",,
4620802324172150,K8Ja8hvmK,2932185514,土匪山寨DE寨主,现在可以买了么，，现在可以卖了么，，——老是套俺的话这不厚道呀，，适合再下手的时候，自然会提一嘴的，，认真跟了微更新就成，，——老是耍小聪明，老是套人家话，，莫非在你们眼里，，本主是低智商不成，，为人厚道一点，，交友真诚一点，，这样不好吗？？#股票##A股#,,,,"股票,A股",13,123,630,2021-03-31 13:29,微博 weibo.com,['https://wx2.sinaimg.cn/large/aec599aagy1gp30xesytyj20qo0x5dl0.jpg'],,,
4620769047611097,K8IisvVZD,2144596567,洪榕,苟利国家生死以，岂因福祸避趋之。看到这句话，再看看A股市场，想的感觉。,,,,,22,81,384,2021-03-31 11:17,华为Mate40保时捷设计,,,,
4620767017046403,K8Ifbtz5F,5066260790,厦禾路股添乐,目前中国A股市场的注册账户已经达到1.87亿个，多数人来资本市场不光交了学费，还亏损惨重，追其原因主要还是市场大环境不好，才是绝大多数人亏损的根本原因。不用太迷信什么股市高手，什么专家。机构及一些持大个人户能赚到钱，主要是因为信息的不对称造成的~！,,,,,1,16,232,2021-03-31 11:09,微博 weibo.com,,,,
4620715494215262,K8GU5hGA6,1900117675,明德先生,#A股首例集体诉讼#万家文化的赵军旗呢？,,,,A股首例集体诉讼,15,23,458,2021-03-31 07:44,HUAWEI Mate 20,,,,
4620506470811792,K8BsX3pbq,1191050205,水皮,发布了头条文章：《水皮：A股的定价权在谁手里？》O水皮：A股的定价权在谁手里？,http://t.cn/A6cZgvMA,,,,72,72,228,2021-03-30 17:54,微博 weibo.com,,,,
4620146876090432,K8s6XpyoM,6749425429,冰哥聊财经,A股十年一遇的风口，核心公司就三家！视频观点由刘冰（执业编号：A0600611010016）编辑整理，不构成投资建议，操作风险自负。L刘冰股评的微博视频,,,,,20,148,131,2021-03-29 18:05,微博视频号,,"http://f.video.weibocdn.com/003JJzvSgx07LthZmJGM01041200y44m0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1711527870&ssig=WoEhADFsdt&KID=unistore,video",,
