0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2021-04-01,0.982989,1.107773,1.108870,0.709489,0.710103
2021-04-02,0.705413,0.887089,0.888425,0.521038,0.521774
2021-04-06,0.061658,0.182235,0.181970,-0.040897,-0.041133
2021-04-07,-0.306335,-0.356946,-0.357919,-0.095947,-0.096494
2021-04-08,-0.004992,-0.006953,-0.006133,0.084181,0.083627
2021-04-09,-0.934669,-0.946371,-0.947376,-0.915351,-0.916433
2021-04-12,-1.708417,-2.132381,-2.134518,-1.093394,-1.093403
2021-04-13,-0.269001,-0.060506,-0.060776,-0.482800,-0.483575
2021-04-14,1.074435,1.413045,1.414043,0.596243,0.596432
2021-04-15,-0.502927,-0.537576,-0.537695,-0.519027,-0.519919
2021-04-16,0.694879,0.619419,0.618026,0.812898,0.813191
2021-04-19,2.098019,2.438515,2.439788,1.486326,1.486490
2021-04-20,-0.117611,-0.073906,-0.073910,-0.132444,-0.132423
2021-04-21,0.108331,0.199430,0.200728,-0.000371,-0.000690
2021-04-22,0.111232,0.481830,0.481894,-0.225055,-0.225837
2021-04-23,0.421652,0.452940,0.454605,0.261238,0.262955
2021-04-26,-0.850649,-0.750226,-0.750557,-0.949874,-0.950748
2021-04-27,0.034843,0.027256,0.027868,0.042000,0.042259
2021-04-28,0.590686,0.833068,0.834254,0.419949,0.419721
2021-04-29,0.435839,0.204704,0.205000,0.515836,0.516473
2021-04-30,-0.493040,-0.291350,-0.291117,-0.807065,-0.807766
