0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2021-07-01,-0.548313,-0.972645,-0.974593,-0.067259,-0.066994
2021-07-02,-1.949644,-1.862217,-1.864722,-1.951139,-1.953350
2021-07-05,0.583693,0.735338,0.734788,0.442278,0.440288
2021-07-06,-0.064045,-0.323447,-0.324596,-0.114967,-0.116730
2021-07-07,1.270042,1.678848,1.680617,0.664444,0.665320
2021-07-08,-0.598805,-0.481615,-0.482011,-0.793862,-0.794513
2021-07-09,0.165362,0.067132,0.065889,-0.040159,-0.040645
2021-07-12,1.547116,1.982241,1.983836,0.673879,0.673566
2021-07-13,0.476044,0.274668,0.274224,0.526696,0.526223
2021-07-14,-1.038877,-0.878890,-0.878755,-1.066064,-1.067723
2021-07-15,0.830558,0.350103,0.352407,1.022788,1.024070
2021-07-16,-0.738970,-0.994719,-0.997002,-0.709377,-0.710727
2021-07-19,0.010613,-0.070923,-0.069651,-0.005122,-0.002472
2021-07-20,0.126394,0.180592,0.180881,-0.065892,-0.065097
2021-07-21,1.193359,1.456643,1.455883,0.731471,0.730669
2021-07-22,0.386175,0.454039,0.454605,0.338884,0.338606
2021-07-23,-1.077935,-1.426409,-1.427646,-0.680834,-0.681674
2021-07-26,-2.372096,-2.282416,-2.282923,-2.336514,-2.338202
2021-07-27,-3.101950,-3.332610,-3.334830,-2.487644,-2.489487
2021-07-28,-0.673824,-0.781782,-0.780875,-0.579495,-0.578907
2021-07-29,2.468494,3.067880,3.070064,1.491393,1.492777
2021-07-30,-0.157078,0.060977,0.060497,-0.421095,-0.420443
