id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4840858173835462,Mh8Uhg5Mi,3144103832,ZZ贵州茅台价值投资之道,一定得点个赞，今天这个公告，让人意外又惊喜，真是雪中送炭。希望以后成为常态的半年制分红而不是特别分红。上次实施特别分红和大股东向小股东赠送股份还是在15年前股改时期。这个分红到账2022年收到的每股分红为21.675+21.91=43.585.创下了中国股市和茅台的记录。,,,,,85,92,348,2022-11-28 19:13,HUAWEI Mate X2,"['https://wx3.sinaimg.cn/large/bb673798gy1h8l1v77vk0j21p41ww4gw.jpg', 'https://wx1.sinaimg.cn/large/bb673798gy1h8l1v8guo5j22dc2o0u0y.jpg']",,,
4831438887190893,MdbRSuaG9,6508022755,帽子哥聊财经,【珍惜3000点左右、甚至3000点以下的中国股市】珍惜3000点左右、甚至3000点以下的中国股市L帽子哥聊财经的微博视频,,,,,23,47,259,2022-11-02 19:24,微博视频号,,"http://f.video.weibocdn.com/u0/otKywZMtgx080tgErkkM01041200aBnL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711437256&ssig=jjh3%2Fa5WBh&KID=unistore,video",,
4832089511301243,MdsNh5svN,1642585887,新浪证券,#牛市回来了#【@李大霄：从今天起中国股市永别3000点之下的九大理由】今天中国股市有望创造历史，有可能从今天开始，中国股市上穿3000点并一去不复返，永远告别3000点之下。有以下九个理由。O李大霄：从今天起中国股市永别3000点之下的九大理由,,,李大霄,牛市回来了,74,21,87,2022-11-04 14:29,微博 weibo.com,,,,
4834184818855878,MeliNB9OK,1752549400,全景网,【#刘纪鹏#:4000点是中国股市崛起的基本点】中国政法大学资本金融研究院院长刘纪鹏曾表示，#茅台#、#片仔癀#、宁德时代五六年内下不来，4000点是中国股市崛起的基本点。L全景网的微博视频,,,,"刘纪鹏,茅台,片仔癀",53,61,67,2022-11-10 09:15,微博视频号,,"http://f.video.weibocdn.com/u0/2pBSM5Iggx080FlYKBaw010412005xfd0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711437280&ssig=uh4ST4Qud%2B&KID=unistore,video",,
4837967271037005,MfVHx4lLT,1647486362,上帝之鹰_5zn,外资正迅速回流中国股市,,,,,13,65,321,2022-11-20 19:45,HUAWEI Mate 20,['https://wx1.sinaimg.cn/large/6232a59agy1h8btz0vl6gj20u018gtiv.jpg'],,,
4838996414826380,MgmtrkfyQ,1525844264,胡斐-戊午,中国股市，晨曦即将诞生，大有希望。,,,,,5,23,160,2022-11-23 15:55,iPhone 12,['https://wx4.sinaimg.cn/large/5af28928ly1h8f45rqn9cj20zk0np0yh.jpg'],,,
4836147212331495,MfalX9MwL,7288200138,乐游-杨生,马曼然：明年将是中国股市过去十年以来最美好的一年（2022年11月15日视频）L乐游-杨生的微博视频,,,,,25,2,44,2022-11-15 19:13,iPhone 12,,"http://f.video.weibocdn.com/u0/3NyXxRLUgx080NZutkM001041206fmVJ0E030.mp4?label=mp4_720p&template=864x484.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711437308&ssig=HkemvGfk5%2F&KID=unistore,video",,
4831003946782506,Md0ymssrg,3962719063,挖地瓜的超级鹿鼎公,"中国股市最终会走向成熟，好企业20-25PE，每年增长多少，股价跟随，保持估值，毕竟45倍以上的PE，。只适合那些疯狂增长股行业不够好的企业，比如周期，公用事业，10--15PE是合适的相对走下坡路的行业，才会去7,8PE",,,,,77,25,203,2022-11-01 14:35,微博 weibo.com,,,,
4832059363954874,Mds0EgAQi,2188093987,麻辣新鲜,本周就是消息满天飞，一天出消息，一天辟谣，一天再出消息，看得眼花缭乱。中国股市对假消息没有任何的惩罚机制吗？,,,,,6,67,252,2022-11-04 12:29,iPhone客户端,,,,
4838573188319119,MgbsOyUbl,6572731627,洪攻略投资,要给中国资产重新定价，必须重塑中国资本市场，提升中国股市、中国券商等金融机构的资产定价能力。要提高定价能力，需要实力自信、制度自信、能力自信。,,,,,39,32,307,2022-11-22 11:53,HUAWEI Mate X2,,,,
4834242230227800,MemNp0Xgc,3212995687,通用金融,【#刘纪鹏#:4000点是中国股市崛起的基本点】中国政法大学资本金融研究院院长刘纪鹏曾表示，#茅台#、#片仔癀#、宁德时代五六年内下不来，4000点是中国股市崛起的基本点。L全景网的微博视频,,,,"刘纪鹏,茅台,片仔癀",318,312,1354,2022-11-10 13:03,微博云剪,,"http://f.video.weibocdn.com/u0/2pBSM5Iggx080FlYKBaw010412005xfd0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711437308&ssig=qH4WUDLlIK&KID=unistore,video",,
4833204869008113,MdVOeBNq9,2198935377,别梦依稀笑逝川,“开放将促使中国股市上涨20%”。一开就灵概念股：呼吸机、制氧机、新冠特效药、连花清瘟、福寿园，我真的谢谢你们对中国GDP的贡献。,,,,,17,29,231,2022-11-07 16:21,微博 weibo.com,['https://wx2.sinaimg.cn/large/83111751gy1h7wmzthibsj20u01uo11e.jpg'],,,
4834265899206747,MenpzCD5V,7020169141,壹地产,都忘了是什么时候开始的。中国股市脆弱到脱离常识，只相信小作文了。一个截图，就能宣判一家中债增增信的房企资本市场上的死亡；另一个截图，又能让他们在太平间原地惊坐起。,,,,,14,8,83,2022-11-10 14:37,iPhone 13 Pro,['https://wx3.sinaimg.cn/large/007F5UGxly1h800vpo2hzj30yi8ti4qp.jpg'],,,
4832065906281130,Mdsbcqm0y,1911539921,Storm徐风暴,中国股市现在是靠微信群的几个截图支撑了是吧？,,,,,0,17,90,2022-11-04 12:55,iPhone 13 Pro Max,,,,
4833989141471973,Megdc6aVv,5647517211,俺是太岁神,算一卦：明天11月10号，中国股市大约还有最后一杀，那么本轮三连杀完毕。星期五是个买票的好日子前两天提醒会杀，相信许多人已经听话躲过去了。恭喜大家！,,,,,1,14,46,2022-11-09 20:18,,,,,
4840705681787765,Mh4Wk7v4V,7306297587,双博士的分享,对应中国股市的新加坡富时中国A50指数期货，在上一交易日夜盘收跌0.21%的基础上低开，目前大跌中,,,,,2,14,82,2022-11-28 09:07,,['https://wx1.sinaimg.cn/large/007YstLtgy1h8kkh3m0sjj30wi1go7gw.jpg'],,,
4832076014553110,Mdsrvj6tg,7323703082,爱记仇的小熊猫,李大霄：从今天起中国股市永别3000点之下的九个理由他是怎么敢说永别3000点的？？？哪来的自信？？？,,,,,7,44,51,2022-11-04 13:36,小熊猫祖传Android,['https://wx1.sinaimg.cn/large/007ZDvJggy1h7t1clpp56j30u01uodpf.jpg'],,,
4838617828296832,MgcCOyOnS,1733927284,房长沙V,我早先对中国股市的分析都已经应验，中国股市不可能走美国的价值投资，我们的股市不是给投资者投资发财的，而是服务于国家,,,,,2,5,51,2022-11-22 14:50,微博网页版,,,,
4831721008137791,MdjcUy90H,1413017637,救市军参谋长史宁,中国股市是市场经济的产物，取缔了吧,,,,,1,3,55,2022-11-03 14:05,微博 weibo.com,,,,
