0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2018-12-03,2.979300,3.274600,3.278900,2.573700,2.576200
2018-12-04,0.467800,0.430100,0.430100,0.420400,0.420700
2018-12-05,-0.583800,-0.483800,-0.483800,-0.605900,-0.605100
2018-12-06,-2.005900,-2.174400,-2.177200,-1.684000,-1.686800
2018-12-07,-0.002700,-0.004300,-0.002500,0.027100,0.027000
2018-12-10,-1.143900,-1.345100,-1.343900,-0.817600,-0.817500
2018-12-11,0.648400,0.853100,0.855500,0.367800,0.368200
2018-12-12,0.182700,0.158900,0.156700,0.310900,0.310800
2018-12-13,1.257700,1.106400,1.105200,1.225800,1.226800
2018-12-14,-2.069200,-2.462000,-2.466600,-1.530300,-1.531800
2018-12-17,-0.146000,-0.309000,-0.309100,0.163200,0.164400
2018-12-18,-0.817800,-0.813300,-0.814800,-0.820800,-0.821700
2018-12-19,-1.245400,-1.376400,-1.379600,-1.051200,-1.053800
2018-12-20,-0.176600,0.202200,0.204100,-0.521500,-0.522600
2018-12-21,-0.975100,-0.958900,-0.958800,-0.789200,-0.788100
2018-12-24,0.602200,0.860500,0.861000,0.427500,0.427700
2018-12-25,-0.860300,-0.812800,-0.813900,-0.878000,-0.878100
2018-12-26,-0.393500,-0.420200,-0.421200,-0.260500,-0.260500
2018-12-27,-0.897200,-1.215700,-1.218900,-0.608700,-0.609600
2018-12-28,0.414100,0.287800,0.287800,0.435300,0.435800
