0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2018-05-02,-0.048000,-0.069100,-0.066400,-0.034200,-0.031800
2018-05-03,0.881300,1.013500,1.015900,0.638700,0.639600
2018-05-04,-0.258000,-0.213100,-0.214400,-0.316800,-0.317200
2018-05-07,1.676300,1.851000,1.852300,1.475600,1.476800
2018-05-08,0.832600,0.770600,0.769800,0.792300,0.793300
2018-05-09,-0.110300,-0.090700,-0.090000,-0.074200,-0.074100
2018-05-10,0.481900,0.516700,0.516500,0.483100,0.483500
2018-05-11,-0.738900,-1.025100,-1.028700,-0.351200,-0.351700
2018-05-14,0.204400,-0.103300,-0.103900,0.340400,0.341800
2018-05-15,0.733500,0.912000,0.914200,0.569800,0.571400
2018-05-16,-0.564400,-0.413800,-0.415200,-0.706500,-0.707900
2018-05-17,-0.553200,-0.522100,-0.523000,-0.482200,-0.481900
2018-05-18,0.698600,0.334000,0.334300,1.237100,1.239300
2018-05-21,0.898900,1.054000,1.056400,0.643100,0.643600
2018-05-22,0.083100,0.384000,0.386000,0.015800,0.016000
2018-05-23,-1.205600,-1.101900,-1.103700,-1.412000,-1.413600
2018-05-24,-0.472200,-0.417700,-0.419000,-0.451700,-0.452400
2018-05-25,-0.628300,-0.931700,-0.934000,-0.423100,-0.423200
2018-05-28,-0.119500,-0.218200,-0.222000,-0.198000,-0.198400
2018-05-29,-0.799100,-1.072500,-1.076300,-0.466400,-0.467800
2018-05-30,-2.618700,-2.819300,-2.824200,-2.532200,-2.532800
2018-05-31,1.829300,1.797600,1.803800,1.776500,1.781500
