id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4797189978850887,LEMm1B8wf,5702772557,刘昌松-只做免费内容,A股周线缩量收阴，下周跌破60天均线，后市怎么走？L刘昌松-只做免费内容的微博视频,,,,,4,34,160,2022-07-31 07:11,微博视频号,,"http://f.video.weibocdn.com/o0/qiKXHGdulx07Y2wB1q4w010412018Z8r0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711438850&ssig=Z33hUn2p%2Fh&KID=unistore,video",,
4796972651512496,LEGHv6lt6,3499166470,擒牛师叶汶昌,战？周末发酵一下各大媒体都在纸上战了因为这样，下周初的A股借恐慌砸自己盘在大A，十万八千里外开打根本与自己没丝毫关系自己先砸自己，可笑不？之前俄乌之战，大A把自己砸成重伤现在雷声大一点，下周初又会自己砸自己了。基金超话#股票#,,,,股票,2,14,42,2022-07-30 16:47,,,,,
4796876643894021,LEEcEgl0N,2375574514,淘股吧官方微博,#淘说说##a股#我是如何手机炒股实现4个多月470%收益的,,,,"淘说说,a股",39,3,29,2022-07-30 10:26,,"['https://wx1.sinaimg.cn/large/8d9863f2gy1h4oqrtx2wzj20lxcmte83.jpg', 'https://wx4.sinaimg.cn/large/8d9863f2gy1h4oqry2z0ej20lxcmu4qr.jpg', 'https://wx2.sinaimg.cn/large/8d9863f2gy1h4oqs021ulj20u07opu0x.jpg']",,,
4796916322273908,LEFeE9xxW,1234139431,林耘,耘财经超话#今日看盘##a股##基金#提醒一下：从本周开始，您看到的北向资金与以往的有所不同。L林耘的微博视频,,,,"今日看盘,a股,基金",7,1,55,2022-07-30 13:03,耘财经超话,,"http://f.video.weibocdn.com/o0/1OaVMLtYlx07Y1jXfoyc01041201SPFe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711438902&ssig=YWubCFT7EW&KID=unistore,video",,
4796534774564577,LEvjfj9sd,3612749480,山人I,今天主力资金出逃很坚决，恒生科技和医疗跌4点，A股消费类龙头白酒和医疗重挫，见鬼的是猪肉大涨，这什么逻辑？资源煤炭国防军工科技全补跌，就剩下风光电，大队长带了个坏头，天天讲故事炒。如果还是继续这样今天是不能入场的，一旦轧红了眼，机构互相捅刀子会死人的。,,,,,15,334,1373,2022-07-29 11:47,iPhone 11,,,,
4796492520359092,LEud61vpO,5876472419,鸟叔操盘,我猜A股的规律的就是一年之内有多次一波一折，跌的时候我没有完全躲过亏的少，涨的时候自然就新高了。引用著名诗人白交易的诗句：厄运来临的时候没有躲过，幸运来临的时候撞个满怀。我一句话总结就是不用努力。,,,,,21,101,717,2022-07-29 08:59,微博 weibo.com,,,,
4796548535552524,LEvFrnisQ,2144596567,洪榕,感觉目前A股市场主力彻底放弃了长线投资，专注中短期围猎了。#洪攻略之城门立木战法#大有可为啊。,,,,洪攻略之城门立木战法,78,88,614,2022-07-29 12:42,HUAWEI Mate X2,,,,
4796580806788460,LEwvustZi,6393953260,卢大宏观,A股融资发新股全球第一、A股跌幅全球第一、A股股民基民亏损全球第一！邓公讲过：“资本主义可以搞股市，社会主义也可以搞嘛……要坚决地试，搞不好可以关掉嘛!”,,,,,11,44,155,2022-07-29 14:50,微博 weibo.com,,,,
4796542042774967,LEvuYbDTx,3199967910,主力求您别割我,#股票##A股##今日看盘#走的真漂亮下午看看市场有没有好的机会！,,,,"股票,A股,今日看盘",1,13,70,2022-07-29 12:16,,['https://wx3.sinaimg.cn/large/bebba2a6ly1h4nocroijcj20wi1ych4f.jpg'],,,
4796481448445525,LEtVezr49,1285707277,股市风云,看看A股昨天走势，再看看日经和美股，怎么说呢？看着都生气。大A股，你可长点心吧。,,,,,1,9,58,2022-07-29 08:15,微博 weibo.com,,,,
4796718133021496,LEA4ZcG1O,2557120465,机工战略,今天，国产EDA供应商华大九天正式登录A股票，公司开盘大涨120%。,,,,,6,13,49,2022-07-29 23:56,iPhone 12 Pro,['https://wx2.sinaimg.cn/large/986a8fd1ly1h4o8kvftw5j20u01c6dk4.jpg'],,,
4796574159085333,LEwkLC7vD,5244183267,麒麟神侯,港股那边几乎没啥成交量了，中概股是真的惨，A股纯粹是被情绪波及的,,,,,4,18,75,2022-07-29 14:24,360安全浏览器,,,,
