id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4722579951323098,L9tph5yci,1263406744,司马南,司马南：中国股市彻底熄火之后…（中国房市如果撑不住4）L司马南的微博视频,,,,,439,577,1982,2022-01-06 09:57,微博视频号,,"http://f.video.weibocdn.com/o0/jVVlAJ6vlx07SK8yR6PC01041206kCXQ0E030.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1711508671&ssig=%2BQ%2BI0mi6qE&KID=unistore,video",,
4730929216226957,LcYBPq7UN,5480201571,金融小狐狸,美股真的在大A放假期间涨起来了，大A放长假利好美股，美股从3000点涨到了快4万点，印度股市都是几万点，大A永远的3000点，没有对比就没有伤害，如果不规范股市制定，不以自己股民利益着想，永无止境的圈钱套现，收割中小散户的利益，中国股市永远都是3000点,,,,,18,63,369,2022-01-29 10:54,,['https://wx3.sinaimg.cn/large/005YSmLVgy1gyuctsbf64j30tz15oafc.jpg'],,,
4720820087686006,L8JCMwftQ,1885448847,林义相,祝朋友们在[2022]2022年万事顺利！幸福开心！祝中国股市在红红绿绿中不断上涨，投资的朋友们都有收获。,,,,,6,39,260,2022-01-01 13:24,HUAWEI P40 Pro 5G,,,,
4730336536167313,LcJbTpSoN,6413030671,新抬杠研究所,下午：还有比中国股市更丢人的吗？晚上：有,,,,,49,80,1673,2022-01-27 19:39,iPhone 13 Pro Max(石墨色),['https://wx1.sinaimg.cn/large/00700qezly1gysgr7gs45j30zo1tkjy7.jpg'],,,
4720619062562536,L8EoyaKDe,1365815692,我爱997,希望今年疫情能够早点退去，中国股市能走半年牛。祝大家早生贵子，五个起步,,,,,1,63,142,2022-01-01 00:05,iPhone 13 Pro,"['https://wx4.sinaimg.cn/large/5168b18cly1gxxgq02k1vj22c0340qv5.jpg', 'https://wx3.sinaimg.cn/large/5168b18cly1gxxgrd8btdj20wi1ycjzt.jpg', 'https://wx4.sinaimg.cn/large/5168b18cly1gxxgrebeesj20ma0dxwf5.jpg']",,,
4729540914708730,LcouDjKXg,1320153481,牛春宝,国内的一些机构唯美国股市马首是瞻，内心就是恐惧美股会下跌，他们会认为中国央行对中国股市的影响力没有美联储对中国股市的影响力大。,,,,,12,33,121,2022-01-25 14:58,iPhone 11,,,,
4730582351482025,LcPAn6dxD,3962719063,挖地瓜的超级鹿鼎公,6年了，总舵主出来了，头发都白了，钱没了，老婆离婚了，只有中国股市还在3500点忠贞不渝的等他,,,,,12,31,187,2022-01-28 11:56,微博 weibo.com,,,,
4730292881853505,LcI3u7Mbf,1441971481,杨光张,中国股市跟经济没关系，这个常识已经普及十年了吧，大Ｖ还来装傻就没意思了。这位改名字了，没认出来，还以为是哪位老公知，能相信他一度是五毛代表吗？他右转的确是从疫情开始的，跟某晓东一样，只有国家强才爱国,,,,,9,32,80,2022-01-27 16:46,iPhone客户端,['https://wx4.sinaimg.cn/large/55f2bd19ly1gysboelp3kj20v90hz767.jpg'],,,
4728789579597613,Lc4WNEgMd,1525844264,胡斐-戊午,中国股市的天空，将这样阳光，明亮的迎接虎年！,,,,,2,8,99,2022-01-23 13:12,iPhone 12,['https://wx4.sinaimg.cn/large/5af28928ly1gynj3d0d1wj20t0140qb8.jpg'],,,
4725126031737308,LaxDR7hX6,6880136821,模型预测,巴菲特教你中国股市怎么投资，股神的肺腑之言买入低成本的ETF。#价值投资##巴菲特#L模型预测的微博视频,,,,"价值投资,巴菲特",36,3,17,2022-01-13 10:34,微博视频号,,"http://f.video.weibocdn.com/o0/Znu99DEplx07SVllKAs001041200sFdq0E010.mp4?label=mp4_720p&template=1136x640.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1711508743&ssig=%2BzZLg7tNX1&KID=unistore,video",,
4730352457746712,LcJBzwvgY,1403815095,邓浩志,中国股市和中国足球来给大家，拜年啦~~~~,,,,,3,13,54,2022-01-27 20:42,微博网页版,"['https://wx2.sinaimg.cn/large/53ac84b7gy1gysil2ec85j20g80gtahc.jpg', 'https://wx2.sinaimg.cn/large/53ac84b7gy1gysil4oqdfj20qi0hok7a.jpg']",,,
4731251309675790,Ld6ZkEB78,5849420543,牧童骑牛168,周末有个段子：外资看美国股市不行了，纷纷来中国股市买入A股避险，内资看美国股市不行了，纷纷卖出A股避险！谁是SB,,,,,5,10,75,2022-01-30 08:14,人工智能iPhone 12,,,,
4730193749215729,LcFtACFqN,1424710994,数据化管理,猎杀2022，中国股市脊梁断了！,,,,,4,23,89,2022-01-27 10:12,微博 weibo.com,,,,
4730257728345759,LcH8Mz171,1917488115,赵子龙之云看盘,#拿什么挺起A股的脊梁#中国股市有脊梁吗？感觉像蛆，无脊椎生物。,,,,拿什么挺起A股的脊梁,1,16,58,2022-01-27 14:26,HUAWEI P30,,,,
4721841454976327,L9ac9kSzl,6852791625,笑傲股市先锋,#笑傲股市先锋##A股##股市分析##股票#朋友们早！今天是#2022年的第1个交易日#，我们一起加油，中国股市加油！🙏🙏🙏点赞的暴赚！给每人来一个开门红，准备准备开始开始今天的战斗。财经头条文章超话,,,,"笑傲股市先锋,A股,股市分析,股票,2022年的第1个交易日",30,0,53,2022-01-04 09:03,,,,,
4730226028839234,LcGjEB5ui,3098456133,老c队长,全世界各国近十年股市走势美国股市：10年上升190%英国股市：10年上升180%日本股市：10年上升119%德国股市：10年上升140%印度阿三：10年上升300%泰国股市：10年上升188%中国股市：10年上升0.2%,,,,,178,93,954,2022-01-27 12:20,赞就涨停的HarmonyOS设备,,,,
4730234971100993,LcGy54CpX,7477654950,善待每一位-天天基金,（接上）昨晚上海女砖家竟大肆放空，言【接下来的调整是对前两年上涨的调整】，不制造恐慌誓不罢休，难道中国股市就永远停留在以往？只要前进就必须退回去？开年已然如此为什么继续添乱？面对困局不鼓士气却在电视上放这些？今天股市如此下跌，不应当有人查一查吗？到底是何方妖孽在做空A股？！,,,,,3,2,105,2022-01-27 12:56,HUAWEI MatePad Pro,,,,
4730370170035860,LcK4909ko,1268425765,战鹰gavin50,本鹰家复盘，看看人家的股市，欧洲股市里的英国股市这三根阳线很漂亮，从月K线来看也不错美联储加息貌似对中国股市没啥大的影响啊我对A股反弹有信心,,,,,5,14,49,2022-01-27 21:53,微博 weibo.com,"['https://wx4.sinaimg.cn/large/4b9aa425ly1gyskjx387pj20lw08zta7.jpg', 'https://wx1.sinaimg.cn/large/4b9aa425ly1gyskl8ndp5j20lr08rq4d.jpg']",,,
