0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2016-08-01,-1.268500,-1.488900,-1.491600,-0.871100,-0.870600
2016-08-02,0.699400,0.734300,0.734500,0.605800,0.606700
2016-08-03,0.347900,0.421600,0.422200,0.241700,0.240400
2016-08-04,0.477200,0.728600,0.730900,0.133200,0.132300
2016-08-05,-0.257300,-0.374900,-0.376100,-0.192100,-0.193100
2016-08-08,1.028200,1.063900,1.065800,0.926500,0.928200
2016-08-09,0.894500,1.039500,1.041700,0.712500,0.713800
2016-08-10,-0.318800,-0.327600,-0.328900,-0.229200,-0.229400
2016-08-11,-0.988000,-1.277400,-1.280200,-0.533600,-0.533100
2016-08-12,1.395800,1.165800,1.169200,1.599600,1.603200
2016-08-15,2.550200,2.511700,2.518200,2.443000,2.444500
2016-08-16,0.158000,0.670400,0.672600,-0.485100,-0.488300
2016-08-17,0.173600,0.317500,0.317800,-0.015500,-0.015500
2016-08-18,-0.095400,-0.051000,-0.050600,-0.175000,-0.176700
2016-08-19,0.137700,0.121000,0.123000,0.128500,0.129100
2016-08-22,-1.075900,-1.273400,-1.276200,-0.749600,-0.750700
2016-08-23,0.202300,0.267300,0.267400,0.158800,0.160000
2016-08-24,0.041600,0.307700,0.308500,-0.123800,-0.123800
2016-08-25,-0.626800,-0.554700,-0.555300,-0.568700,-0.570100
2016-08-26,0.191200,0.201700,0.201800,0.064500,0.063800
2016-08-29,0.132100,0.200300,0.200700,-0.009200,-0.009900
2016-08-30,0.073000,0.059700,0.060000,0.151400,0.152100
2016-08-31,0.253200,0.222700,0.223200,0.351700,0.352300
