0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2016-02-01,-1.388300,-1.037200,-1.036200,-1.780600,-1.783000
2016-02-02,2.967900,3.420100,3.432500,2.258100,2.257900
2016-02-03,0.134900,0.469100,0.475000,-0.375400,-0.377200
2016-02-04,1.787500,1.949500,1.953900,1.525100,1.525300
2016-02-05,-0.926000,-1.149900,-1.153500,-0.630400,-0.634200
2016-02-15,-0.198800,-0.039200,-0.031000,-0.625900,-0.624200
2016-02-16,3.771400,4.096600,4.106100,3.290900,3.297600
2016-02-17,1.209400,1.423900,1.426900,1.084600,1.085500
2016-02-18,-0.246200,-0.337300,-0.341300,-0.155000,-0.158600
2016-02-19,0.274600,0.494000,0.493400,-0.100300,-0.100000
2016-02-22,2.142800,2.035500,2.039400,2.348000,2.351200
2016-02-23,-0.727900,-0.582400,-0.581700,-0.814600,-0.816400
2016-02-24,0.472100,-0.037900,-0.037500,0.880500,0.881100
2016-02-25,-7.130800,-7.343900,-7.357600,-6.406900,-6.409200
2016-02-26,0.343900,-0.122600,-0.125600,0.947200,0.945000
2016-02-29,-4.366600,-5.366100,-5.378400,-2.863200,-2.859300
