id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4753190941623178,LmjJQ6Ogi,6508022755,帽子哥聊财经,【A股十年前3000点，十年后还是3000点，问题出在哪？】A股十年前3000点，十年后还是3000点，问题出在哪？L帽子哥聊财经的微博视频,,,,,25,115,932,2022-03-31 21:14,微博视频号,,"http://f.video.weibocdn.com/u0/tLmYXXnugx07UURRGD7a01041200F1fX0E010.mp4?label=mp4_720p&template=720x1584.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711507376&ssig=iKMxA7j8ZB&KID=unistore,video",,
4753160671596406,LmiX16Hiu,7521955262,博识财经,盘后数据显示，03月30日A股龙虎榜中，共25只个股出现了机构的身影，有8只股票呈现机构净买入，17只股票呈现机构净卖出。机构与北向资金同向净买入的无，三只机构以上买入的无。,,,,,38,47,147,2022-03-31 19:14,战舰粉丝团超话,"['https://wx1.sinaimg.cn/large/008d3mb4ly1h0ta2khdahj30r10kagul.jpg', 'https://wx2.sinaimg.cn/large/008d3mb4ly1h0ta2mdncnj30fn06l405.jpg', 'https://wx4.sinaimg.cn/large/008d3mb4ly1h0ta2o3l1wj30fq02vq3b.jpg']",,,
4753188828480687,LmjGqzAdh,7360562686,新侠客行,一会看看美股走势吧，A股还难以摆脱外围的影响。,,,,,3,71,1505,2022-03-31 21:06,微博网页版,,,,
4753171035720813,LmjdJo0fb,5491496809,溪流竹海20150722,#大A股##《清明大A劫》清明时节雨纷纷，股海散户欲断魂。借问大A何时好？它也无语头脑昏。～～by溪流竹海,,,,大A股,2,66,323,2022-03-31 19:55,,['https://wx3.sinaimg.cn/large/005ZDLbbly1h0tb9gr2r3j307f09taad.jpg'],,,
4753204941949540,Lmk6q8bac,5244183267,麒麟神侯,#卢布收复俄乌冲突以来全部失地#买卢布的人真赢麻了……这次欧洲输的底裤都没了……但最后还是A股接下了所有,,,,卢布收复俄乌冲突以来全部失地,18,43,145,2022-03-31 22:10,旷世麒财HarmonyOS设备,,,,
4753198919714456,LmjWHELaM,3714420514,股市狼头哥,#A股#A股一季度上证跌10%，创业板跌20%其实最难受的不是跌，也不是一直跌，而是国外最近半个月一直在涨而你。。。,,,,A股,1,38,137,2022-03-31 21:46,HUAWEI P40 5G,"['https://wx2.sinaimg.cn/large/dd658f22ly1h0teg55zsaj20u01t048x.jpg', 'https://wx3.sinaimg.cn/large/dd658f22ly1h0teg5jibqj20u01t0n8b.jpg']",,,
4753202325756167,Lmk2co9rp,1563749484,飛浪王,发布了头条文章：《千万小心，暴风雨要来了》O千万小心，暴风雨要来了,http://t.cn/A66OZVjC,,,,5,13,169,2022-03-31 22:00,微博 weibo.com,,,,
4753098318545016,LmhkrzQWQ,3612749480,山人I,今天亏钱了，不开心。把昨天薅的都丢回去了。最近A股真的好难做。,,,,,3,247,881,2022-03-31 15:06,iPhone 11,,,,
4753106170547741,Lmhx72iux,5702772557,刘昌松-只做免费内容,A股放量成交10091亿，低开低走跌停板骤增，明天怎么走？L刘昌松-只做免费内容的微博视频,,,,,6,116,285,2022-03-31 15:38,微博视频号,,"http://f.video.weibocdn.com/o0/NllvvkXHlx07UUuJwnhC01041201Lwnx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711507399&ssig=qrVvekfU%2BR&KID=unistore,video",,
4753121365984510,LmhVCp6Qm,2868676035,财联社APP,【中国石油2021年全年净利润921.7亿元上年同期190亿元】财联社3月31日电，中国石油2021年全年净利润921.7亿元，上年同期为190.06亿元；全年营收2.61万亿元，同比增长35.2%。,,,,,88,624,976,2022-03-31 16:38,微博 weibo.com,['https://wx2.sinaimg.cn/large/aafc85c3gy1h0t5k65p44j20u0193q7m.jpg'],,,
4753094477348950,LmhefuPNs,2932185514,土匪山寨DE寨主,做为大A十多年的老司机，，从小白一路走到现在，，散户见过成千上万，，越是抱怨的，，越是永远在市场里垫底！！炒股一辈子，抱怨一辈子，一辈子没半分长进，，这样的股民，占大部分。。#股票#,,,,股票,6,33,271,2022-03-31 14:51,微博 weibo.com,,,,
4753099363714922,Lmhm8fAq6,1249424622,但斌,收评：A股三大指数震荡收跌，一季度创业板指累计下跌近20%，3月第一牛股中国医药炸板O网页链接,,,,,1,0,86,2022-03-31 15:10,iPhone 13 Pro Max,,,,
4753151548201059,LmiIiypt9,7380400382,有知有行,已经是3月的最后一天啦😶细细回想真是不平凡的一季度呐黑板报栏目用数据图表的形式，带你回顾一季度的大类资产表现&A股行业指数收益率情况。和你想象中的数据相符吗？————#知行黑板报#有知有行专栏，解读市场近况与热点，让投资服务于生活。,,,,知行黑板报,2,9,58,2022-03-31 18:38,VVebo,"['https://wx4.sinaimg.cn/large/0083tphQly1h0t90z5qxlj30zk0ivwfs.jpg', 'https://wx2.sinaimg.cn/large/0083tphQly1h0t90zd3e4j30zk0jrwgh.jpg', 'https://wx4.sinaimg.cn/large/0083tphQly1h0t90zlyvbj30zk0gita4.jpg']",,,
4753009014473541,Lmf0piLLT,2144596567,洪榕,再啰嗦一次，A股投资要想赢面大，只参与有明显城门立木的板块，尽量不参与没有明显城门立木股票的板块。,,,,,136,87,621,2022-03-31 09:11,HUAWEI Mate X2,,,,
