id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4664803895548686,KrbQpnhsW,5888642098,涨涨有好股,#A股#白马股跌了医药跌了医美跌了白酒跌了银行跌了保险跌了地产跌了猪肉跌了你觉得下一个会是哪个板块？？？你觉得下一个会是哪个板块？？？,,,,A股,10,24,3200,2021-07-30 23:36,,,,,
4664984241444554,Krgxi63Ng,1221171697,兔主席,美股就是上海；港交所就是瑞金；大A股就是延安。,,,,,69,93,587,2021-07-31 11:32,微博 weibo.com,,,,
4664951963389974,KrfHeedT0,5751923188,八倍哥,最全【各细分行业的龙头股】#A股##股票#,,,,"A股,股票",150,8,152,2021-07-31 09:24,OPPO Reno,"['https://wx3.sinaimg.cn/large/006hgtYEly1gszvfwndzaj30j60e2jti.jpg', 'https://wx3.sinaimg.cn/large/006hgtYEly1gszvfx5df1j30j60dyjtn.jpg', 'https://wx2.sinaimg.cn/large/006hgtYEly1gszvfxqz9yj30j60dkjud.jpg', 'https://wx2.sinaimg.cn/large/006hgtYEly1gszvfy3npgj30j60dgdit.jpg', 'https://wx1.sinaimg.cn/large/006hgtYEly1gszvfyg869j30j60deju1.jpg', 'https://wx3.sinaimg.cn/large/006hgtYEly1gszvfysmpij30j60ejacc.jpg', 'https://wx2.sinaimg.cn/large/006hgtYEly1gszvfz8niwj30j60ez0vl.jpg', 'https://wx2.sinaimg.cn/large/006hgtYEly1gszvfzurd7j30j60djwgw.jpg', 'https://wx4.sinaimg.cn/large/006hgtYEly1gszvg0app7j30j60etgof.jpg']",,,
4664935965525034,Krfhqnbjs,2183570524,雪球,在A股，“成长性”三个字是门显学。拥有概念的公司凭借着“靠脸吃饭”，瞬间会跻身成长性“流量小生”行列。O储能爆发的黎明时刻！,,,,,48,4,49,2021-07-31 08:21,微博 weibo.com,,,,
4664682864710782,Kr8HcjLum,2122147865,我是沈阳宽宽,宽宽：试探进攻，A股下周开始看技术型反弹！#全民理财节##知识分享大会##A股#L我是沈阳宽宽的微博视频,,,,"全民理财节,知识分享大会,A股",41,51,395,2021-07-30 15:35,微博视频号,,"http://f.video.weibocdn.com/00421Ya8gx07ODjf9BGM01041201CAHh0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1711524601&ssig=PDKflPyD4y&KID=unistore,video",,
4664680268169931,Kr8D0yhn5,2244733937,天狼50陈浩,#狼帅说#补发：A股未来值得拥有！L天狼50陈浩的微博视频,,,,狼帅说,30,41,175,2021-07-30 15:25,微博视频号,,"http://f.video.weibocdn.com/4NYffEi4lx07ODfP7ak001041200x96a0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1711524601&ssig=Uw7fEWgj4Y&KID=unistore,video",,
4664687783841417,Kr8P8g7kl,6184524617,基金闷声发财,A股今年真的是逢节必跌，马上八一了，周一来你觉得会跌吗？下周还会上演逢节必跌吗？,,,,,3,64,1542,2021-07-30 15:54,长期投资者iPhone客户端,,,,
4664695799942566,Kr923FIvY,1444528110,七月梅子青,我琢磨着国家在防疫上要花这么多钱，社保是个大头，包括给疫情失业补贴的那都是真金白银的发钱。关于A股的金主，可以把社保这一块提高个观察位置了，因为他们很缺钱。只有着急搞钱的，才会有赚钱的动力。七月梅子青超话,,,,,16,33,183,2021-07-30 16:26,七月梅子青超话,,,,
4664618277143371,Kr711tYjF,2369080114,股社区,白酒不要头铁去接，不是行业的问题，也不是企业不好，那些公司都是好公司，问题就是里面的公募基金抱不住了，开始调仓出货，这个时候散户不要上去硬接。A股的价值投资是有中国特色的价值投资，还要考虑流动性溢价的变化，你说自己有信仰，背后队友就给你捅刀子。,,,,,120,1058,4480,2021-07-30 11:18,微博网页版,,,,
4664570986368855,Kr5MKqIPt,1282871591,花荣,【每日早盘操作计划和应变思维】1、关键词：异地揽储叫停部分银行小动作不断！开白名单卖高息存款缘何屡禁不止？2、市场背景：3个交易日超百亿元资金借助ETF快速抄底A股。3、操作计划：逢低点关注重点爆破点股，低吸高抛做车轮战短线波段。,,,,,11,12,118,2021-07-30 08:10,搜狗高速浏览器,,,,
4664625276912940,Kr7cjt0n2,2316928100,杰总,现在你们最纠结的莫过于想追热点，但又怕高位接盘，想下白酒，但又怕它反弹。这个问题恐怕只有外资内资能给你答案了，至于消息面，A股的尿性大家都清楚，从来都只让你看到想看的，我就一条看法“白酒短期内难起来”。,,,,,1,97,335,2021-07-30 11:46,iPhone 12,,,,
4664561914088613,Kr5y7h9Dn,6681503244,战将妖哥,连续大跌两天之后，昨天A股大幅反弹，今天会怎么走？还会大涨吗？,,,,,2,2,314,2021-07-30 07:34,iPhone XS,,,,
4664580859495445,Kr62FDQcl,6393953260,卢大宏观,【教育、房子、医疗是三座大山】上周末的政策消息，令本周两天股灾，美股中概股教育板块已经下跌90%之余，这是一个有上千万从业者的行业，背后影响几千亿。教育股灾也波及集体性恐慌，如果有一天房地产和医疗也政策也出击，对A股重创将是教育的10倍。,,,,,20,23,132,2021-07-30 08:50,微博 weibo.com,,,,
4664600434573822,Kr6yfjbRk,5639264656,Meta麻麻,看看涨跌幅居前的个股k线走势，你会发现A股市场95%的股票是周期股，全生命周期95%的时间在缓缓下跌，只有5%的时间在猛涨。,,,,,1,14,150,2021-07-30 10:07,iPhone客户端,,,,
4664456195345425,Kr2NBmqAx,1249424622,但斌,A股史上最大骗局来了！——作者站长的PE早餐OA股史上最大骗局来了！,,,,,267,72,581,2021-07-30 00:34,iPhone 12 Pro Max,,,,
4664335428752963,KqZEOAJ2P,5491496809,溪流竹海20150722,我发表了头条文章:《A股犹如情绪放大器，但是我们有利器！！》OA股犹如情绪放大器，但是我们有利器！！,,,,,30,65,588,2021-07-29 16:34,HUAWEI P30 Pro,,,,
4664387573127518,Kr10Vd7BQ,7515603927,成林说,#股票##A股#看似一样的反弹，却有不同的结果L成林说的微博视频,,,,"股票,A股",6,7,69,2021-07-29 20:02,微博视频号,,"http://f.video.weibocdn.com/KrHbU21Ilx07OBYwOEas01041204hLBj0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1711524651&ssig=9Ygk3cKAxZ&KID=unistore,video",,
4664203082729249,KqWdmbs09,6127416994,加仓多吉丿,但斌：A股市场被一些没有常识的经济学家影响太悲哀！@但斌#股市分析#L加仓多吉丿的微博视频,,,但斌,股市分析,155,24,131,2021-07-29 07:48,微博视频号,,"http://f.video.weibocdn.com/oug2WKEBlx07OBcjqz0I01041201GGEQ0E010.mp4?label=mp4_hd&template=848x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&ori=0&ps=1BVp4ysnknHVZu&Expires=1711524678&ssig=NlgvfwGsjC&KID=unistore,video",,
4664214947890355,KqWwux6DN,2932185514,土匪山寨DE寨主,好好看看，你是怎么做的，，人家聪明资金又是怎么做的。。#A股#,,,,A股,13,74,423,2021-07-29 08:36,微博 weibo.com,['https://wx3.sinaimg.cn/large/aec599aagy1gsx7bh7yiwj20bm0b9jt4.jpg'],,,
4664048065710442,KqSbknXxU,3199967910,主力求您别割我,#A股大跌有哪些值得关注的信息#玩个股的选手珍惜最近急跌的机会，中小盘市值基本面良好的超跌题材股里遍地黄金！别和上次一样人云亦云，叫你别追大市值所谓的“核心资产”你不听，希望这次你可再别做反咯！指数中长期向好不用担心，短期可以错但大方向不会错，早点睡晚安。,,,,A股大跌有哪些值得关注的信息,1,11,53,2021-07-28 21:32,,['https://wx3.sinaimg.cn/large/bebba2a6ly1gswzm1k186j20gw0u0td3.jpg'],,,
4664006725340599,KqR6EmpkH,6931925052,涨涨板板大神,A股暴跌，跌出大机遇，跌出黄金坑！继2440、2647之后最佳买点！有谁不服吗？不服，点赞！L涨涨板板大神的微博视频,,,,,61,88,1423,2021-07-28 18:48,微博视频号,,"http://f.video.weibocdn.com/fx0Zdyrrlx07OAkJWePK01041201xFnr0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1711524689&ssig=oIW2%2Bcia8A&KID=unistore,video",,
4663906905883920,KqOvEoGFW,1654134123,早报网,【中国官媒发声未明显见效A股下挫至熊市边缘】周末教育行业监管新政的出台引发投资者对教育等中概股的广泛抛售，叠加中美天津会谈继续唇枪舌剑、中国国内疫情扩散风险冲击A股，沪深300指数本周前两日跌幅创下去年2月3日疫情爆发之初以来的最大。,,,,,72,18,226,2021-07-28 12:12,微博网页版,['https://wx3.sinaimg.cn/large/001NWzQDgy1gswi2oc0rqj60dw07sjrm02.jpg'],,,
4663933316891228,KqPcfsUIQ,3612749480,山人I,北资净买入80亿，这是要上百亿的走法，一路狂扫买入。奈何内资机构不给力一直出货，每次都是北资赢，散户输。要我说索性A股全面放开说不定外资早就给你顶到一万点了。,,,,,2,313,1116,2021-07-28 13:56,360安全浏览器,,,,
4663972722905944,KqQdOcbY4,2959386434,镇长有点帅,看市盈率炒股在A股不合适，亏成狗的企业，1570倍的市盈率，要疯了么,,,,,4,8,180,2021-07-28 16:33,,"['https://wx1.sinaimg.cn/large/b064a742gy1gswqz19nbbj20u01acae9.jpg', 'https://wx1.sinaimg.cn/large/b064a742gy1gswqz4d9rij20u01imdjw.jpg']",,,
