id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4885401787696484,MzPGOwicQ,6393953260,卢大宏观,l#专家称楼市若不启动经济很难启动#孟晓苏的观点，我不同意！我个人觉得A股若不启动，经济很难启动。,,,,专家称楼市若不启动经济很难启动,5,17,114,2023-03-31 17:13,浙商会iPhone客户端,,,,
4885404060487045,MzPKu22Hz,2125494943,天狼50官方,【#收盘论道##A股##股民电台#20230331又是反复震荡的一周，指数层面等待答案揭晓@天狼若超】本周上证指数下探回升，到周五时日K线稍有进攻意图，但盘口抛压偏重。其实指数反复区间震荡已久，提前判断不如直接等待答案揭晓L天狼50官方的微博视频,,,天狼若超,"收盘论道,A股,股民电台",8,2,68,2023-03-31 17:22,微博视频号,,"http://f.video.weibocdn.com/o0/MXok9Nt8lx084iN08uKs01041201CVQV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711424900&ssig=FxQXckYALc&KID=unistore,video",,
4885380992336434,MzP9h9NOq,6268268160,牛犇财经,【20230331收评】泛科技接着奏乐接着舞A股超话L牛犇财经的微博视频,,,,,24,29,93,2023-03-31 15:50,微博视频号,,"http://f.video.weibocdn.com/o0/u0dRHEzglx084iGHUrGg010412007Bpf0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711424900&ssig=I4pmweoQFa&KID=unistore,video",,
4885421295666703,MzQchnMar,6323524613,价值投资二十年,国内会降息？A股：行情发动机找到！周期底部如何挖掘就看这规律……A股超话股市超话股票超话#价值投资##财经#L价值投资二十年的微博视频,,,,"价值投资,财经",2,15,44,2023-03-31 18:31,微博视频号,,"http://f.video.weibocdn.com/u0/gG9NQRC8gx084iRHrn4c010412057tup0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711424919&ssig=LUFMrJbfe1&KID=unistore,video",,
4885292580867878,MzMQG3DM2,3612749480,山人I,【天齐锂业：2022年净利润同比增长1060.47%】拟10派30元，股价都跌成狗了。A股的逻辑全球独有，看不懂不丢人，亏钱才丢人，所以我看不懂索性不操作。,,,,,3,59,403,2023-03-31 09:59,,,,,
4885307076644708,MzNe3rSAI,5702772557,刘昌松-只做免费内容,这波反弹不简单，但抓不住主线也白玩，A股后市怎么走？L刘昌松-只做免费内容的微博视频,,,,,0,21,160,2023-03-31 10:57,微博视频号,,"http://f.video.weibocdn.com/o0/COERT6Wzlx084imxgHJm01041201C55q0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1711424919&ssig=AbUfjebKUz&KID=unistore,video",,
4885306753682008,MzNdxfrRe,1320153481,牛春宝,其实也不能全怪A股股民，因为不做交易，就只剩下：赚钱不走一无所有。。。,,,,,18,21,108,2023-03-31 10:55,微博网页版,['https://wx4.sinaimg.cn/large/4eaff189ly1hciutw8uzkj20ld0bhgoo.jpg'],,,
4885026103628318,MzFUSfdTg,2959386434,镇长有点帅,A股是所有散户的耻辱，炒股本是是一个有技术有资金且带金融概念的投资，在这里炒票的人却成了人人喊打，败家，不务正业，失败者的代号，只要你炒股，你都不敢向任何人说你在炒股…,,,,,2,24,127,2023-03-30 16:20,,,,,
4884935938150174,MzDzryceq,1882147360,王文健指数化投资,我其实一直的意思是，，，如果你们没有我那么厉害，其实，，真的不应该玩股票，特别是a股，销户其实是不错的选择，我说这话是真心的，,,,,,6,23,136,2023-03-30 10:22,,,,,
4885096731256115,MzHKN5gLV,3714420514,股市狼头哥,#四月你好#A股超话四月剧本，酝酿中~,,,,四月你好,2,77,298,2023-03-30 21:01,微博网页版,"['https://wx3.sinaimg.cn/large/dd658f22gy1hci6kzg80dj20dc05ggnv.jpg', 'https://wx3.sinaimg.cn/large/dd658f22gy1hci6nexuynj20nc0dhdmy.jpg', 'https://wx3.sinaimg.cn/large/dd658f22gy1hci6oi4w6qj20q70cy7ch.jpg']",,,
