0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2019-05-06,-6.707700,-7.380900,-7.386100,-5.583300,-5.584700
2019-05-07,1.185000,1.617100,1.617000,0.685600,0.685400
2019-05-08,-0.928300,-0.649300,-0.650800,-1.115200,-1.115100
2019-05-09,-1.406300,-1.280000,-1.280300,-1.479200,-1.482900
2019-05-10,3.718300,3.832700,3.839200,3.095700,3.099400
2019-05-13,-1.226900,-1.075600,-1.075700,-1.207700,-1.208000
2019-05-14,-0.670500,-0.623800,-0.623800,-0.692300,-0.692600
2019-05-15,2.279500,2.324700,2.327400,1.909700,1.911400
2019-05-16,0.541500,0.437100,0.438900,0.579600,0.581000
2019-05-17,-2.992100,-3.255600,-3.259900,-2.483800,-2.485300
2019-05-20,-0.613900,-0.749700,-0.747000,-0.405600,-0.403800
2019-05-21,1.609500,1.771400,1.773000,1.231900,1.232000
2019-05-22,-0.470600,-0.505700,-0.506600,-0.490800,-0.490700
2019-05-23,-1.947300,-2.432200,-2.435400,-1.355200,-1.355500
2019-05-24,-0.259600,-0.488600,-0.489600,0.016800,0.018900
2019-05-27,2.039000,2.506000,2.510700,1.380400,1.379500
2019-05-28,0.581400,0.530200,0.531100,0.606100,0.608000
2019-05-29,0.060600,0.000600,-0.000700,0.164500,0.164100
2019-05-30,-0.565600,-0.624900,-0.625300,-0.305000,-0.303800
2019-05-31,-0.159600,-0.011000,-0.011500,-0.244600,-0.244200
