0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2019-08-01,-0.667500,-0.524100,-0.525000,-0.809500,-0.808100
2019-08-02,-1.461500,-1.484300,-1.485000,-1.407100,-1.407700
2019-08-05,-1.555200,-1.467400,-1.467400,-1.615900,-1.609900
2019-08-06,-1.706500,-1.777100,-1.776400,-1.557300,-1.557800
2019-08-07,-0.387600,-0.426600,-0.427700,-0.319600,-0.320600
2019-08-08,1.062600,1.011200,1.011400,0.934500,0.934100
2019-08-09,-1.047600,-1.273900,-1.274400,-0.708500,-0.707200
2019-08-12,1.794100,1.969000,1.972500,1.450300,1.451200
2019-08-13,-0.726500,-0.686600,-0.685200,-0.630000,-0.628800
2019-08-14,0.525000,0.691800,0.691200,0.416700,0.416900
2019-08-15,0.425600,0.534500,0.536600,0.245000,0.247300
2019-08-16,0.480100,0.554500,0.554400,0.285000,0.284100
2019-08-19,2.626200,3.047600,3.049800,2.099000,2.099200
2019-08-20,0.007700,0.136500,0.136500,-0.107300,-0.106400
2019-08-21,-0.030500,-0.095000,-0.095200,0.011400,0.011300
2019-08-22,0.310900,0.400100,0.400400,0.107800,0.108500
2019-08-23,0.341700,-0.013600,-0.012600,0.485200,0.486100
2019-08-26,-1.074900,-0.768100,-0.768900,-1.168600,-1.168200
2019-08-27,1.554200,1.866900,1.870300,1.348900,1.350300
2019-08-28,-0.268400,-0.125100,-0.125000,-0.290700,-0.290700
2019-08-29,-0.149400,-0.171800,-0.171900,-0.098000,-0.098500
2019-08-30,-0.462300,-0.743700,-0.743500,-0.162000,-0.161400
