0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2019-02-01,2.057800,2.765100,2.767300,1.302300,1.302700
2019-02-11,2.261800,2.896600,2.898100,1.362100,1.363300
2019-02-12,0.969900,1.202500,1.201300,0.678100,0.679100
2019-02-13,1.884400,1.872100,1.872900,1.840500,1.842900
2019-02-14,0.299800,0.659100,0.660900,-0.050300,-0.050900
2019-02-15,-1.076600,-0.670200,-0.669200,-1.372000,-1.374500
2019-02-18,3.342400,3.705300,3.709900,2.683100,2.685300
2019-02-19,0.085500,0.183600,0.184200,0.046800,0.046800
2019-02-20,0.256900,0.321500,0.322400,0.202200,0.202800
2019-02-21,-0.243100,-0.268700,-0.271600,-0.341000,-0.342300
2019-02-22,2.312600,2.277900,2.282200,1.905100,1.907600
2019-02-25,5.643500,5.417100,5.422500,5.600700,5.603600
2019-02-26,-0.652300,-0.485900,-0.486700,-0.667500,-0.667900
2019-02-27,-0.221900,-0.567000,-0.568700,0.418400,0.420600
2019-02-28,-0.028600,0.351200,0.352100,-0.435700,-0.435600
