0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2019-03-01,1.527900,1.197000,1.198300,1.803900,1.806700
2019-03-04,1.595200,2.213800,2.216300,1.121200,1.120800
2019-03-05,1.674600,2.281900,2.286300,0.880900,0.879400
2019-03-06,1.504100,1.493400,1.496000,1.566800,1.569200
2019-03-07,0.304900,0.489100,0.492900,0.139200,0.139200
2019-03-08,-4.060400,-3.791000,-3.794000,-4.395900,-4.398600
2019-03-11,3.007800,3.895800,3.901400,1.923700,1.924000
2019-03-12,1.404900,1.678200,1.681700,1.100600,1.102900
2019-03-13,-1.591800,-2.315300,-2.318800,-1.090000,-1.089800
2019-03-14,-1.779400,-2.310900,-2.313900,-1.198100,-1.198300
2019-03-15,1.342700,1.428000,1.426100,1.038800,1.037800
2019-03-18,2.631800,2.706300,2.708300,2.471000,2.476200
2019-03-19,-0.027500,0.175900,0.177300,-0.175700,-0.175200
2019-03-20,-0.027100,-0.247900,-0.248500,-0.010800,-0.010700
2019-03-21,0.624300,0.767100,0.766600,0.349900,0.348700
2019-03-22,0.180500,0.203300,0.203000,0.086800,0.085800
2019-03-25,-1.683300,-1.441400,-1.441200,-1.968900,-1.971400
2019-03-26,-1.948000,-2.176100,-2.178300,-1.509500,-1.509600
2019-03-27,0.927100,0.899200,0.899000,0.855000,0.856600
2019-03-28,-0.903000,-0.904600,-0.906600,-0.918900,-0.921000
2019-03-29,3.420800,3.379600,3.383600,3.199200,3.203200
