0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2015-12-01,0.231700,-0.241600,-0.248400,0.316500,0.316600
2015-12-02,0.987900,-0.408000,-0.412900,2.331900,2.339700
2015-12-03,1.781100,2.495300,2.502400,1.354800,1.356600
2015-12-04,-1.015500,-0.476100,-0.479400,-1.669000,-1.673600
2015-12-07,0.890100,1.260400,1.258900,0.338600,0.337000
2015-12-08,-1.861900,-1.775000,-1.780900,-1.890300,-1.892000
2015-12-09,-0.088600,-0.317700,-0.326800,0.068300,0.062900
2015-12-10,-0.234200,-0.106000,-0.106500,-0.488000,-0.491300
2015-12-11,-0.648500,-0.723600,-0.727900,-0.605200,-0.608400
2015-12-14,2.251800,1.995700,1.998800,2.506500,2.510000
2015-12-15,0.512800,1.118200,1.122100,-0.293000,-0.297600
2015-12-16,0.317500,0.679800,0.683700,0.166200,0.163800
2015-12-17,2.389100,2.722000,2.729000,1.814800,1.818200
2015-12-18,-0.029600,-0.280900,-0.283200,-0.028900,-0.030700
2015-12-21,1.608100,0.958500,0.956600,1.774500,1.770200
2015-12-22,0.665900,0.917600,0.917600,0.255200,0.245500
2015-12-23,-0.819000,-1.200300,-1.207400,-0.429300,-0.432400
2015-12-24,-0.451600,-0.199600,-0.197500,-0.649200,-0.652100
2015-12-25,0.543000,0.569300,0.568000,0.427100,0.419300
2015-12-28,-2.466000,-2.176100,-2.164900,-2.594700,-2.571900
2015-12-29,0.992200,0.952100,0.949200,0.847700,0.840900
2015-12-30,0.677000,0.901100,0.902400,0.256500,0.249100
2015-12-31,-1.366900,-1.805200,-1.812500,-0.943100,-0.946800
