0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2022-08-01,0.587796,0.973792,0.972954,0.206573,0.199255
2022-08-02,-2.706678,-2.920309,-2.922284,-2.260523,-2.261786
2022-08-03,-0.874652,-0.981233,-0.981059,-0.709052,-0.711220
2022-08-04,0.855596,0.856840,0.857583,0.801758,0.803808
2022-08-05,1.377982,1.437073,1.439030,1.191193,1.192569
2022-08-08,0.535494,0.794441,0.793889,0.307001,0.298642
2022-08-09,0.286590,0.241217,0.242343,0.324322,0.326998
2022-08-10,-0.522275,-0.349908,-0.350557,-0.536171,-0.537534
2022-08-11,1.703694,1.657484,1.659191,1.598919,1.603283
2022-08-12,-0.218803,-0.447109,-0.447929,-0.145588,-0.146307
2022-08-15,0.270354,0.470032,0.470609,-0.024435,-0.020956
2022-08-16,0.252051,0.432842,0.433219,0.054873,0.056126
2022-08-17,0.597046,0.691906,0.693150,0.446669,0.449945
2022-08-18,-0.420689,-0.263940,-0.262887,-0.455037,-0.457452
2022-08-19,-0.978158,-1.276135,-1.276560,-0.593902,-0.591586
2022-08-22,0.815686,0.920781,0.921845,0.605139,0.605868
2022-08-23,-0.079735,-0.041866,-0.041030,-0.047926,-0.046293
2022-08-24,-2.516717,-3.008328,-3.010211,-1.862513,-1.859767
2022-08-25,0.405912,-0.242365,-0.243272,0.965563,0.965984
2022-08-26,-0.306458,-0.415142,-0.416610,-0.308833,-0.309593
2022-08-29,0.037898,0.071918,0.072385,0.139202,0.141815
2022-08-30,-0.446471,-0.466603,-0.468441,-0.416795,-0.416152
2022-08-31,-1.386521,-1.948351,-1.949392,-0.777217,-0.776636
