0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2017-04-05,1.747900,1.848800,1.851100,1.483000,1.480100
2017-04-06,0.320000,0.297000,0.297400,0.327200,0.328600
2017-04-07,0.068500,-0.043000,-0.043300,0.171000,0.171600
2017-04-10,-0.676200,-0.977800,-0.980800,-0.524100,-0.525000
2017-04-11,0.652000,0.690900,0.692000,0.598700,0.600700
2017-04-12,-0.622700,-0.760200,-0.763300,-0.460200,-0.461400
2017-04-13,0.289200,0.381800,0.382800,0.065100,0.065400
2017-04-14,-1.158700,-1.390700,-1.393000,-0.912500,-0.912300
2017-04-17,-0.978500,-1.414300,-1.418000,-0.736200,-0.737400
2017-04-18,-0.723000,-0.619400,-0.621900,-0.790000,-0.793100
2017-04-19,-0.832700,-0.717100,-0.718300,-0.814200,-0.814200
2017-04-20,-0.031600,-0.190800,-0.190500,0.044600,0.044500
2017-04-21,-0.275400,-0.443300,-0.444900,0.033100,0.033100
2017-04-24,-2.026900,-2.439900,-2.444500,-1.374700,-1.375000
2017-04-25,0.357000,0.506300,0.506100,0.160900,0.160700
2017-04-26,0.264400,0.368000,0.370800,0.200300,0.199600
2017-04-27,0.361200,0.542200,0.547800,0.361000,0.361200
2017-04-28,0.202300,0.362200,0.363500,0.078400,0.079700
