0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2017-02-03,-0.479900,-0.392600,-0.388500,-0.601300,-0.601400
2017-02-06,0.725500,0.931200,0.934300,0.535400,0.536300
2017-02-07,-0.060500,-0.020600,-0.020900,-0.123400,-0.123900
2017-02-08,0.628900,0.758600,0.760400,0.440600,0.441100
2017-02-09,0.590700,0.660700,0.661600,0.511500,0.511400
2017-02-10,0.126300,-0.220200,-0.222600,0.424700,0.424800
2017-02-13,0.662400,0.739700,0.740200,0.630000,0.629600
2017-02-14,-0.028900,-0.021500,-0.021700,0.033800,0.033800
2017-02-15,-0.651600,-0.879800,-0.883100,-0.153600,-0.154300
2017-02-16,0.630900,0.568800,0.569200,0.517700,0.519300
2017-02-17,-0.745900,-0.664400,-0.666600,-0.852800,-0.854800
2017-02-20,1.126200,0.895700,0.895600,1.183200,1.183600
2017-02-21,0.634300,0.948500,0.949900,0.412500,0.412700
2017-02-22,0.326800,0.464000,0.463000,0.242600,0.243200
2017-02-23,-0.197700,0.082800,0.083900,-0.301800,-0.302900
2017-02-24,0.169900,0.421400,0.421900,0.063300,0.064600
2017-02-27,-0.763100,-0.580200,-0.580900,-0.761400,-0.762400
2017-02-28,0.341100,0.631000,0.632500,0.404900,0.404500
