id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
5006770881694419,O2Q8M76Nl,3612749480,山人I,我今天是踏空了，你们说的对就是踏空，我昨天早盘卖光了A股。根本看不懂啊，昨天千股跌停没任何说法，一会儿说量化放开，一会儿又说紧急又关了。那都是有内幕消息的人赚了，做空做多呼风唤雨都是它们的。这都多少年了，我们也算身经百战，提得起就要放得下。,,,,,4,100,617,2024-02-29 15:11,,['https://wx2.sinaimg.cn/large/d7562ea8gy1hnacr773x5j20tx0yhakn.jpg'],,,
5006774239498834,O2QebDR50,3714420514,股市狼头哥,#a股##股市#双阳夹一阴，明天全身而退没有任何一丝悬念！如果你亏了，明天私信找我，我给你补！（前提：你是今早9.25分反核买的＋你得听话买的是AI和机器人）,,,,"a股,股市",3,44,166,2024-02-29 15:24,微博网页版,"['https://wx4.sinaimg.cn/large/dd658f22gy1hnad506j3bj20j60ck75r.jpg', 'https://wx2.sinaimg.cn/large/dd658f22gy1hnad3mnb5mj20h60fojur.jpg', 'https://wx1.sinaimg.cn/large/dd658f22gy1hnad46i8w1j20g30g6acl.jpg', 'https://wx2.sinaimg.cn/large/dd658f22gy1hnad4d0f1nj20hc0fugor.jpg', 'https://wx1.sinaimg.cn/large/dd658f22gy1hnad4kz9d3j20gp0gftb4.jpg', 'https://wx4.sinaimg.cn/large/dd658f22gy1hnad4s3jodj20hg0fi40u.jpg']",,,
5006835557336858,O2RP5uMEq,1673628557,Herbiewu,这两天股市走势非常具有A股特色，让人直呼看不懂。A股自始至终都是主力资金牟利的工具，散户想要他就抛给你，散户不敢买他们就往上拉，看不懂很正常。,,,,,15,17,137,2024-02-29 19:28,,,,,
5006529415872919,O2JRjoDOv,1234139431,林耘,本手！A股要想起死回生，走上正轨，必须从严治市不动摇。证监会资本市场法治建设座谈会：加大行政、民事和刑事立体追责力度。,,,,,11,20,113,2024-02-28 23:11,HUAWEI Mate 40 Pro,['https://wx4.sinaimg.cn/large/498f7927gy1hn9l148m13j20u01cptea.jpg'],,,
5006875853324827,O2SS5dWWf,5091912327,o小怂包,明天A股继续涨，没有毛病吧？,,,,,10,46,283,2024-02-29 22:08,iPhone 14 Pro,,,,
5006835721700506,O2RPm78nw,1776830283,同花顺,氢能相关产业链一览！建议收藏！#股市##a股##氢能#,,,,"股市,a股,氢能",58,2,36,2024-02-29 19:28,微博网页版,"['https://wx2.sinaimg.cn/large/69e8474bly1hnak8234hpj20ws1lskdu.jpg', 'https://wx1.sinaimg.cn/large/69e8474bly1hnak84n5aej20u01e04fz.jpg', 'https://wx4.sinaimg.cn/large/69e8474bly1hnak884twsj20u01e0e7g.jpg']",,,
5006865018131367,O2SABy7l5,6135649961,大妖妖,#富时中国A50纳入光大银行等4股#最受投资者关注的富时中国A50指数将纳入中国广核、光大银行、海光信息、陕西煤业；删除爱尔眼科、宁波银行、洋河股份、药明康德。划重点给药明撤下来了#a股#,,,,"富时中国A50纳入光大银行等4股,a股",5,34,159,2024-02-29 21:25,赞评会暴富iPhone客户端,,,,
5006764336484667,O2PYdrcXp,1725876907,深圳张逸轩,昨晚大家都在唱空！今天A股直接5200+家上涨；我直播说昨天大跌是倒车接人，主要原因可能是我剪头发了…,,,,,5,46,204,2024-02-29 14:45,iPhone 13 Pro Max,['https://wx1.sinaimg.cn/large/66decaabgy1hnac1fpucej20zn17aah4.jpg'],,,
5006776410309049,O2QhH1ioF,6748462125,特特理财,#沪深两市成交额连续第二个交易日破1万亿#】#A股超5200只个股上涨#分析市场走势的三个层面:基本面（政策、逻辑）、技术面、情绪面。目前市场被政策面和情绪面主导。明白的666,,,,"沪深两市成交额连续第二个交易日破1万亿,A股超5200只个股上涨",2,20,67,2024-02-29 15:33,,,,,
5006874267882677,O2SPwx4DX,3835549189,艷茹君寧,早點休息啦，明天A股市場會大漲，因為，三月一號是好日子，我家先生說茅台會让我進帳七位數字以上，哈哈😄信唔信,,,,,1,23,116,2024-02-29 22:01,iPhone客户端,['https://wx4.sinaimg.cn/large/e49dd605gy1hnaonxwtrsj20u0140k0t.jpg'],,,
