0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2020-09-01,0.561878,0.669260,0.670633,0.439656,0.439881
2020-09-02,0.162642,0.456247,0.456253,-0.170207,-0.172336
2020-09-03,-0.761761,-0.843725,-0.844419,-0.582151,-0.582638
2020-09-04,-0.651885,-0.491691,-0.489824,-0.874865,-0.875150
2020-09-07,-1.966433,-2.218331,-2.221509,-1.870910,-1.874812
2020-09-08,0.618775,0.380398,0.380582,0.723634,0.726726
2020-09-09,-2.626093,-3.221726,-3.225890,-1.863128,-1.862632
2020-09-10,-1.477123,-2.138355,-2.141627,-0.608503,-0.608133
2020-09-11,1.232042,1.642441,1.643486,0.788998,0.788021
2020-09-14,0.901191,1.149608,1.151942,0.566434,0.567275
2020-09-15,0.670832,0.742895,0.743299,0.514384,0.515629
2020-09-16,-0.696305,-0.913085,-0.914208,-0.356682,-0.357677
2020-09-17,-0.192109,0.080724,0.079703,-0.410771,-0.412936
2020-09-18,1.867218,1.505519,1.507549,2.068676,2.071299
2020-09-21,-0.591123,-0.523174,-0.522835,-0.633734,-0.634566
2020-09-22,-1.269313,-1.093580,-1.094625,-1.285331,-1.285907
2020-09-23,0.482012,0.825429,0.827091,0.165196,0.164632
2020-09-24,-2.230508,-2.456637,-2.458662,-1.723753,-1.724425
2020-09-25,-0.112992,-0.233991,-0.234188,-0.116609,-0.117453
2020-09-28,-0.443433,-0.754555,-0.755804,-0.058498,-0.056970
2020-09-29,0.587576,1.014340,1.015549,0.212110,0.210140
2020-09-30,-0.126835,0.050534,0.050460,-0.195611,-0.195761
