0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2020-02-03,-8.169494,-8.413692,-8.411721,-7.724537,-7.719987
2020-02-04,1.715230,1.803540,1.803026,1.335540,1.335378
2020-02-05,1.893511,2.479700,2.481503,1.250320,1.249378
2020-02-06,2.400411,2.895083,2.899024,1.718258,1.720245
2020-02-07,0.467797,0.517184,0.519661,0.329809,0.330447
2020-02-10,0.840140,1.214973,1.216569,0.505013,0.503793
2020-02-11,0.187693,0.042737,0.041068,0.387028,0.387861
2020-02-12,1.334434,1.553741,1.554924,0.869326,0.869612
2020-02-13,-0.742572,-0.768485,-0.767968,-0.711538,-0.710996
2020-02-14,0.457790,0.441406,0.443067,0.376247,0.377171
2020-02-17,2.788367,3.176860,3.179268,2.283676,2.283967
2020-02-18,0.585471,1.122138,1.123153,0.045214,0.045161
2020-02-19,-0.484901,-0.547140,-0.547514,-0.320606,-0.320491
2020-02-20,2.129429,2.152075,2.153143,1.840189,1.839903
2020-02-21,0.740847,1.124519,1.127105,0.314010,0.313980
2020-02-24,0.608381,1.363567,1.367998,-0.277530,-0.277774
2020-02-25,0.080115,0.507356,0.508177,-0.599855,-0.599469
2020-02-26,-1.873050,-2.705017,-2.708542,-0.833773,-0.833492
2020-02-27,0.228701,0.239500,0.240076,0.113791,0.114655
2020-02-28,-4.485339,-4.927625,-4.932885,-3.711562,-3.711570
