0,1,2,3,4,5
date,guoa,shenzong,shena,shangzheng,shanga
2020-01-02,1.587230,1.927920,1.929435,1.149888,1.148726
2020-01-03,0.098891,0.267117,0.268091,-0.045767,-0.046432
2020-01-06,0.194393,0.444671,0.446203,-0.012225,-0.012070
2020-01-07,1.029851,1.309958,1.311745,0.693810,0.693110
2020-01-08,-1.263567,-1.242792,-1.244560,-1.220980,-1.222154
2020-01-09,1.406763,1.754877,1.755559,0.912618,0.913167
2020-01-10,-0.124460,-0.152946,-0.154275,-0.083719,-0.083355
2020-01-13,1.114273,1.360934,1.361911,0.752808,0.756403
2020-01-14,-0.274587,-0.231898,-0.231279,-0.280815,-0.280924
2020-01-15,-0.386052,-0.215167,-0.216147,-0.540199,-0.540608
2020-01-16,-0.300126,-0.145793,-0.146694,-0.516369,-0.516182
2020-01-17,-0.073307,-0.291902,-0.293079,0.045997,0.044364
2020-01-20,1.022479,1.310539,1.312943,0.659796,0.660817
2020-01-21,-1.383935,-1.279651,-1.278585,-1.409852,-1.410096
2020-01-22,0.482582,0.723761,0.723188,0.282195,0.282638
2020-01-23,-3.290703,-3.451014,-3.453542,-2.751806,-2.750225
